date, time, temperature, humidity, aqi, dust_concentration, gas_leak
2024-05-23 00:00 18.5 40 47 73.5 0
2024-05-23 00:15 18.7 41 47 59.3 0
2024-05-23 00:30 18.9 41 48 64.3 0
2024-05-23 00:45 19.1 40 48 54.1 0
2024-05-23 01:00 19.3 42 48 39.8 0
2024-05-23 01:15 19.5 43 49 87.3 0
2024-05-23 01:30 19.7 45 49 76.2 0
2024-05-23 01:45 19.9 47 49 25.9 0
2024-05-23 02:00 20.1 50 49 53.4 0
2024-05-23 02:15 20.3 49 49 55.9 0
2024-05-23 02:30 20.5 49 49 60.8 0
2024-05-23 02:45 20.7 49 49 67.9 0
2024-05-23 03:00 20.9 50 49 61.1 0
2024-05-23 03:15 21.1 51 49 71.9 0
2024-05-23 03:30 21.3 52 49 45.8 0
2024-05-23 03:45 21.5 51 49 55.5 0
2024-05-23 04:00 21.7 53 49 47.8 0
2024-05-23 04:15 21.9 54 49 49.4 0
2024-05-23 04:30 22.1 55 49 53.7 0
2024-05-23 04:45 22.3 56 49 49.8 0
2024-05-23 05:00 22.5 53 48 64.6 0
2024-05-23 05:15 22.7 50 48 54.5 0
2024-05-23 05:30 22.9 50 48 57.9 0
2024-05-23 05:45 23.1 47 48 65.9 0
2024-05-23 06:00 23.3 45 48 43.3 0
2024-05-23 06:15 23.5 44 48 87.5 0
2024-05-23 06:30 23.7 42 48 54.6 0
2024-05-23 06:45 23.9 40 47 55.9 0
2024-05-23 07:00 24.1 42 47 63.1 0
2024-05-23 07:15 24.3 41 49 71.2 0
2024-05-23 07:30 24.5 44 49 34.7 0
2024-05-23 07:45 24.7 43 50 45.8 0
2024-05-23 08:00 24.9 40 51 57.8 0
2024-05-23 08:15 25.1 41 51 78.9 0
2024-05-23 08:30 25.3 41 51 47.8 0
2024-05-23 08:45 25.5 43 51 65.1 0
2024-05-23 09:00 25.7 42 53 23.4 0
2024-05-23 09:15 25.9 43 54 45.6 0
2024-05-23 09:30 26.1 42 55 47.8 0
2024-05-23 09:45 26.3 40 56 54.9 0
2024-05-23 10:00 26.5 43 57 60.9 0
2024-05-23 10:15 26.7 44 57 45.7 0
2024-05-23 10:30 26.9 46 57 43.8 0
2024-05-23 10:45 27.1 47 57 55.9 0 
2024-05-23 11:00 27.3 48 59 74.1 1
2024-05-23 11:15 27.5 49 59 65.5 1
2024-05-23 11:30 27.7 51 60 43.5 0
2024-05-23 11:45 27.9 53 60 56.7 0
2024-05-23 12:00 32.1 52 60 66.3 0
2024-05-23 12:15 28.3 55 60 34.8 0
2024-05-23 12:30 28.5 54 60 66.1 0
2024-05-23 12:45 28.7 55 63 35.6 0
2024-05-23 13:00 28.9 57 63 45.9 0
2024-05-23 13:15 29.1 56 63 78.0 0
2024-05-23 13:30 29.3 53 63 43.2 0
2024-05-23 13:45 29.5 55 63 53.4 0
2024-05-23 14:00 29.7 52 63 43.2 0
2024-05-23 14:15 29.9 55 63 42.1 0
2024-05-23 14:30 30.1 55 63 56.2 0
2024-05-23 14:45 30.3 55 62 67.9 0
2024-05-23 15:00 30.5 55 62 76.3 0
2024-05-23 15:15 30.7 55 62 54.2 0
2024-05-23 15:30 30.9 55 62 45.9 0
2024-05-23 15:45 31.1 56 62 90.2 0
2024-05-23 16:00 31.3 58 62 34.5 0
2024-05-23 16:15 31.5 57 60 56.8 0
2024-05-23 16:30 31.7 57 60 45.8 0
2024-05-23 16:45 31.9 56 60 29.8 0
2024-05-23 17:00 32.1 55 60 33.8 0
2024-05-23 17:15 32.3 56 60 57.8 0
2024-05-23 17:30 32.5 54 60 76.3 0
2024-05-23 17:45 32.7 58 60 80.9 0
2024-05-23 18:00 32.9 59 59 65.3 0
2024-05-23 18:15 33.1 57 57 45.7 0
2024-05-23 18:30 33.3 55 57 56.8 0
2024-05-23 18:45 33.5 54 57 66.2 0
2024-05-23 19:00 33.7 55 57 28.9 0
2024-05-23 19:15 33.9 54 57 44.5 0
2024-05-23 19:30 34.1 53 57 45.9 0
2024-05-23 19:45 34.3 52 57 53.1 0
2024-05-23 20:00 34.5 53 54 63.2 0
2024-05-23 20:15 34.7 52 53 44.9 0
2024-05-23 20:30 34.9 51 53 48.7 0
2024-05-23 20:45 35.1 53 52 57.8 0
2024-05-23 21:00 35.3 55 52 34.5 0
2024-05-23 21:15 35.5 54 51 43.5 0
2024-05-23 21:30 35.7 53 49 33.2 0
2024-05-23 21:45 35.9 52 47 65.1 0
2024-05-23 22:00 36.1 54 47 43.5 0
2024-05-23 22:15 36.3 50 45 43.1 0
2024-05-23 22:30 36.5 51 45 27.8 0
2024-05-23 22:45 36.7 52 43 56.9 0
2024-05-23 23:00 36.9 53 42 36.1 0
2024-05-23 23:15 37.1 52 41 56.2 0
2024-05-23 23:30 37.3 51 41 45.9 0
2024-05-23 23:45 37.5 50 40 41.0 0
2024-05-24 00:00 18.5 49 40 34.7 0
2024-05-24 00:15 18.7 48 40 47.8 0
2024-05-24 00:30 18.9 48 40 55.9 0
2024-05-24 00:45 19.1 47 40 34.6 0
2024-05-24 01:00 19.3 47 39 54.1 0
2024-05-24 01:15 19.5 47 39 66.3 0
2024-05-24 01:30 19.7 46 39 23.5 0
2024-05-24 01:45 19.9 46 39 45.8 0
2024-05-24 02:00 20.1 47 39 78.1 0
2024-05-24 02:15 20.3 48 39 36.8 0
2024-05-24 02:30 20.5 48 39 45.0 0
2024-05-24 02:45 20.7 46 38 65.3 0
2024-05-24 03:00 20.9 45 38 55.1 0
2024-05-24 03:15 21.1 44 39 32.6 0
2024-05-24 03:30 21.3 44 39 54.2 0
2024-05-24 03:45 21.5 44 40 66.0 0
2024-05-24 04:00 21.7 46 40 21.9 0
2024-05-24 04:15 21.9 45 40 22.6 0
2024-05-24 04:30 22.1 47 40 35.8 0
2024-05-24 04:45 22.3 44 40 43.5 0
2024-05-24 05:00 22.5 42 40 67.8 0
2024-05-24 05:15 22.7 40 41 34.7 0
2024-05-24 05:30 22.9 39 41 44.5 0
2024-05-24 05:45 23.1 39 41 45.7 0
2024-05-24 06:00 23.3 39 42 66.1 0
2024-05-24 06:15 23.5 40 42 54.9 0
2024-05-24 06:30 23.7 41 43 37.1 0
2024-05-24 06:45 23.9 42 43 18.9 0
2024-05-24 07:00 24.1 43 43 37.9 0
2024-05-24 07:15 24.3 45 45 56.1 0
2024-05-24 07:30 24.5 46 45 45.9 0
2024-05-24 07:45 24.7 45 45 87.1 0
2024-05-24 08:00 24.9 47 46 32.9 1
2024-05-24 08:15 25.1 45 47 76.1 1
2024-05-24 08:30 25.3 44 47 45.3 0
2024-05-24 08:45 25.5 43 47 55.8 0
2024-05-24 09:00 25.7 44 48 76.1 0
2024-05-24 09:15 25.9 46 50 44.2 0
2024-05-24 09:30 26.1 47 52 73.7 0
2024-05-24 09:45 26.3 45 52 56.9 0
2024-05-24 10:00 26.5 48 53 71.9 0
2024-05-24 10:15 26.7 50 54 23.4 0
2024-05-24 10:30 26.9 51 54 43.2 0
2024-05-24 10:45 27.1 53 54 54.4 0
2024-05-24 11:00 27.3 55 54 67.2 0
2024-05-24 11:15 27.5 57 57 65.1 0
2024-05-24 11:30 27.7 60 57 34.6 0
2024-05-24 11:45 27.9 61 57 89.1 0
2024-05-24 12:00 28.1 62 57 54.6 0
2024-05-24 12:15 28.3 62 56 66.7 0
2024-05-24 12:30 28.5 62 56 54.1 0
2024-05-24 12:45 28.7 63 56 43.2 0
2024-05-24 13:00 28.9 63 56 22.4 0
2024-05-24 13:15 29.1 63 58 45.1 0
2024-05-24 13:30 29.3 62 58 67.3 0
2024-05-24 13:45 29.5 64 59 45.9 0
2024-05-24 14:00 29.7 62 60 87.1 0
2024-05-24 14:15 29.9 61 63 76.1 0
2024-05-24 14:30 30.1 60 62 34.9 0
2024-05-24 14:45 30.3 59 62 54.0 0
2024-05-24 15:00 30.5 57 61 44.2 0
2024-05-24 15:15 30.7 58 60 47.1 0
2024-05-24 15:30 30.9 56 59 32.1 0
2024-05-24 15:45 31.1 55 59 43.5 0
2024-05-24 16:00 31.3 56 59 54.1 0
2024-05-24 16:15 31.5 55 58 56.9 0
2024-05-24 16:30 31.7 54 57 67.0 0
2024-05-24 16:45 31.9 53 55 55.1 0
2024-05-24 17:00 32.1 51 55 54.2 0
2024-05-24 17:15 32.3 50 55 36.8 0
2024-05-24 17:30 32.5 50 54 56.9 0
2024-05-24 17:45 32.7 49 53 37.8 0
2024-05-24 18:00 32.9 48 52 54.6 0
2024-05-24 18:15 33.1 48 50 56.1 0
2024-05-24 18:30 33.3 49 50 67.1 0
2024-05-24 18:45 33.5 48 50 43.6 0
2024-05-24 19:00 33.7 48 49 36.7 0
2024-05-24 19:15 33.9 47 49 78.1 0
2024-05-24 19:30 34.1 45 49 23.5 0
2024-05-24 19:45 34.3 44 48 56.7 0
2024-05-24 20:00 34.5 44 47 43.6 0
2024-05-24 20:15 34.7 44 46 23.5 0
2024-05-24 20:30 34.9 43 46 67.6 0
2024-05-24 20:45 35.1 43 45 45.2 0
2024-05-24 21:00 35.3 42 44 33.9 0
2024-05-24 21:15 35.5 43 44 45.0 0
2024-05-24 21:30 35.7 43 44 35.1 0
2024-05-24 21:45 35.9 43 44 45.7 0
2024-05-24 22:00 17.6 44 42 65.2 0
2024-05-24 22:15 17.3 45 41 43.2 0
2024-05-24 22:30 17.2 43 40 54.3 0
2024-05-24 22:45 17.2 42 40 76.8 0
2024-05-24 23:00 17.0 44 40 45.8 0
2024-05-24 23:15 16.8 43 40 41.2 0
2024-05-24 23:30 16.5 41 39 23.6 0
2024-05-24 23:45 16.5 40 39 45.9 0
2024-05-25 00:00 18.5 49 40 34.7 0
2024-05-25 00:15 18.7 48 40 47.8 0
2024-05-25 00:30 18.9 48 40 55.9 0
2024-05-25 00:45 19.1 47 40 34.6 0
2024-05-25 01:00 19.3 47 39 54.1 0
2024-05-25 01:15 19.5 47 39 66.3 0
2024-05-25 01:30 19.7 46 39 23.5 0
2024-05-25 01:45 19.9 46 39 45.8 0
2024-05-25 02:00 20.1 47 39 78.1 0
2024-05-25 02:15 20.3 48 39 36.8 0
2024-05-25 02:30 20.5 48 39 45.0 0
2024-05-25 02:45 20.7 46 38 65.3 0
2024-05-25 03:00 20.9 45 38 55.1 0
2024-05-25 03:15 21.1 44 39 32.6 0
2024-05-25 03:30 21.3 44 39 54.2 0
2024-05-25 03:45 21.5 44 40 66.0 0
2024-05-25 04:00 21.7 46 40 21.9 0
2024-05-25 04:15 21.9 45 40 22.6 0
2024-05-25 04:30 22.1 47 40 35.8 0
2024-05-25 04:45 22.3 44 40 43.5 0
2024-05-25 05:00 22.5 42 40 67.8 0
